Region,Anchor,Neighbor,Cooc_Windows,Anchor_WindowCount,Neighbor_WindowCount,NPMI
CN,人工智能,安全,1311,3546,2089,0.0595
CN,人工智能,技术,734,3546,1088,0.0772
CN,人工智能,发展,658,3546,796,0.164
CN,人工智能,服务,479,3546,796,0.0197
CN,人工智能,模型,474,3546,1093,-0.1078
CN,人工智能,系统,461,3546,632,0.0934
CN,人工智能,治理,434,3546,524,0.1391
CN,人工智能,社会,348,3546,562,0.0274
CN,人工智能,信息,322,3546,727,-0.0866
CN,人工智能,场景,318,3546,583,-0.0161
CN,人工智能,建设,305,3546,432,0.0698
CN,人工智能,数据,294,3546,953,-0.2027
CN,人工智能,防范,271,3546,369,0.0797
CN,人工智能,应对,271,3546,434,0.0279
CN,人工智能,管理,261,3546,388,0.0511
CN,人工智能,创新,255,3546,328,0.0961
CN,人工智能,内容,248,3546,798,-0.1897
CN,人工智能,加快,247,3546,309,0.1037
CN,人工智能,产品,240,3546,301,0.102
CN,人工智能,协同,234,3546,306,0.0885
CN,人工智能,研发,220,3546,356,0.023
CN,人工智能,影响,212,3546,433,-0.0462
CN,人工智能,全球,211,3546,236,0.132
CN,人工智能,探索,209,3546,315,0.0437
CN,人工智能,强化,188,3546,313,0.0139
CN,人工智能,算法,184,3546,505,-0.1283
CN,人工智能,形成,181,3546,249,0.0677
CN,人工智能,决策,179,3546,346,-0.0284
CN,人工智能,措施,177,3546,357,-0.0403
CN,人工智能,组织,176,3546,240,0.0697
CN,人工智能,模式,175,3546,240,0.068
CN,人工智能,智能化,171,3546,274,0.0242
CN,人工智能,合作,170,3546,205,0.1032
CN,人工智能,体系,165,3546,225,0.0684
CN,人工智能,伦理,165,3546,235,0.0564
CN,人工智能,机制,162,3546,377,-0.0786
CN,人工智能,制定,160,3546,260,0.0199
CN,人工智能,环境,158,3546,232,0.0474
CN,人工智能,培育,155,3546,184,0.1049
CN,人工智能,分级,153,3546,258,0.0097
CN,人工智能,监管,150,3546,220,0.0471
CN,人工智能,规范,147,3546,300,-0.0415
CN,人工智能,国际,146,3546,195,0.0717
CN,人工智能,输出,144,3546,405,-0.1265
CN,人工智能,标识,143,3546,646,-0.252
CN,人工智能,实现,142,3546,195,0.0638
CN,人工智能,分类,142,3546,226,0.0248
CN,人工智能,确保,139,3546,274,-0.0317
CN,人工智能,共享,136,3546,179,0.0742
CN,人工智能,开展,136,3546,240,-0.0026
CN,人工智能,失控,133,3546,150,0.114
CN,人工智能,规模,132,3546,226,0.0053
CN,人工智能,开源,131,3546,256,-0.029
CN,人工智能,提出,130,3546,195,0.0395
CN,人工智能,共识,127,3546,150,0.1008
CN,人工智能,风险,126,3546,159,0.0836
CN,人工智能,政府,123,3546,179,0.0467
CN,人工智能,国家,122,3546,238,-0.028
CN,人工智能,融合,120,3546,128,0.1252
CN,人工智能,基础设施,120,3546,165,0.0608
CN,人工智能,攻击,119,3546,252,-0.0486
CN,人工智能,范围,118,3546,195,0.0141
CN,人工智能,企业,117,3546,165,0.054
CN,人工智能,资源,116,3546,240,-0.0424
