Term,Frequency,Degree_Centrality,Betweenness,Eigenvector
安全,196,0.2857,0.051,0.0142
人工智能,371,0.2449,0.0,0.0031
模型,102,0.2245,0.1607,0.026
服务提供者,24,0.1633,0.1692,0.3445
研发,27,0.1633,0.2976,0.0848
探索,21,0.1633,0.0655,0.009
算法,37,0.1429,0.2857,0.0338
措施,27,0.1429,0.1335,0.1113
分级,25,0.1429,0.1276,0.0443
生成合成,34,0.1429,0.0578,0.4843
训练,36,0.1429,0.0978,0.0224
加快,22,0.1224,0.0043,0.0055
内容,73,0.1224,0.0425,0.4211
协同,21,0.1224,0.0893,0.0106
技术,83,0.1224,0.0043,0.0327
治理,44,0.1224,0.0663,0.0027
系统,48,0.1224,0.0187,0.0018
创新,25,0.1224,0.1003,0.011
数据,89,0.1224,0.04,0.0476
采取,18,0.1224,0.1029,0.2259
添加,24,0.1224,0.0281,0.4022
输出,30,0.102,0.0204,0.0083
标识,58,0.102,0.0,0.4597
伦理,19,0.102,0.057,0.0048
应对,32,0.102,0.0196,0.0434
场景,42,0.102,0.0128,0.0568
社会,43,0.102,0.0383,0.0019
决策,24,0.102,0.0791,0.0053
防范,25,0.0816,0.0408,0.0253
智能化,21,0.0816,0.0077,0.0141
发展,59,0.0816,0.0204,0.0031
攻击,20,0.0816,0.0068,0.0045
形成,17,0.0816,0.0,0.0028
建设,29,0.0816,0.0017,0.0027
过程,19,0.0816,0.0,0.0126
服务,68,0.0816,0.0408,0.0791
信息,59,0.0816,0.0,0.0669
开源,27,0.0612,0.0391,0.0038
影响,33,0.0612,0.0408,0.0009
制定,18,0.0612,0.0,0.0113
国家,18,0.0612,0.0315,0.0005
确保,20,0.0612,0.0009,0.0026
强化,21,0.0408,0.0,0.0006
规范,20,0.0408,0.0068,0.0033
全球,19,0.0408,0.0281,0.0007
分类,20,0.0408,0.0,0.0157
资源,18,0.0408,0.0085,0.0012
机制,27,0.0408,0.0,0.0011
产品,22,0.0204,0.0,0.0128
管理,31,0.0204,0.0,0.0021
