Region,Anchor,Neighbor,Cooc_Windows,Anchor_WindowCount,Neighbor_WindowCount,NPMI
EU,ai,high_risk,2740,7122,2747,0.0418
EU,ai,risk,2478,7122,2661,-0.0244
EU,ai,person,2199,7122,2296,0.00
EU,ai,service,1855,7122,1866,0.0277
EU,ai,right,1577,7122,1669,-0.008
EU,ai,fundamental_rights,1494,7122,1559,0.0011
EU,ai,compliance,1493,7122,1511,0.0201
EU,ai,safety,1464,7122,1598,-0.0266
EU,ai,human,1424,7122,1501,-0.005
EU,ai,principle,986,7122,1009,0.0105
EU,ai,health,965,7122,975,0.0167
EU,ai,product,956,7122,990,0.0046
EU,ai,report,918,7122,953,0.0033
EU,ai,individual,886,7122,967,-0.0203
EU,ai,market_surveillance,865,7122,882,0.0116
EU,ai,documentation,807,7122,819,0.0133
EU,ai,framework,799,7122,880,-0.0234
EU,ai,security,776,7122,866,-0.0289
EU,ai,standard,686,7122,699,0.0107
EU,ai,harm,685,7122,734,-0.0104
EU,ai,conformity_assessment,666,7122,669,0.0165
EU,ai,output,609,7122,637,-0.0002
EU,ai,value,608,7122,633,0.0016
EU,ai,systemic_risk,585,7122,725,-0.0669
EU,ai,transparency,553,7122,578,0.0001
EU,ai,responsibility,551,7122,619,-0.0277
EU,ai,personal_data,522,7122,544,0.0012
EU,ai,legislation,503,7122,517,0.0063
EU,ai,deployment,493,7122,496,0.0141
EU,ai,user,493,7122,512,0.0024
EU,ai,oversight,471,7122,514,-0.0156
EU,ai,guideline,454,7122,454,0.0159
EU,ai,technical_documentation,454,7122,454,0.0159
EU,ai,performance,431,7122,433,0.0139
EU,ai,freedom,417,7122,487,-0.0385
EU,ai,bias,416,7122,441,-0.0049
EU,ai,environment,412,7122,424,0.0054
EU,ai,placing_on_the_market,400,7122,409,0.0076
EU,ai,input,383,7122,409,-0.0072
EU,ai,consumer,362,7122,387,-0.0074
EU,ai,notified_body,355,7122,355,0.0146
EU,ai,robustness,332,7122,341,0.0057
EU,ai,worker,331,7122,338,0.0075
EU,ai,criterion,325,7122,372,-0.029
EU,ai,democracy,314,7122,317,0.011
EU,ai,people,312,7122,314,0.012
EU,ai,infrastructure,303,7122,338,-0.0203
EU,ai,trustworthy,298,7122,298,0.0138
EU,ai,biometric_identification,288,7122,321,-0.0197
EU,ai,log,275,7122,281,0.0069
EU,ai,supply,265,7122,268,0.0099
EU,ai,autonomy,258,7122,266,0.0041
EU,ai,education,258,7122,269,0.0008
EU,ai,quality_management,254,7122,254,0.0131
EU,ai,accuracy,253,7122,265,-0.0006
EU,ai,justice,245,7122,267,-0.0122
EU,ai,risk_management,242,7122,259,-0.0069
EU,ai,supervision,236,7122,236,0.0129
EU,ai,fairness,236,7122,263,-0.0185
EU,ai,surveillance,234,7122,242,0.0031
EU,ai,algorithm,233,7122,235,0.0103
EU,ai,privacy,229,7122,247,-0.009
EU,ai,natural_person,220,7122,220,0.0126
EU,ai,competent_authority,213,7122,213,0.0125
EU,ai,chain,210,7122,218,0.002
EU,ai,accountability,209,7122,218,0.0006
EU,ai,decision_making,208,7122,208,0.0124
EU,ai,risk_assessment,201,7122,250,-0.0481
EU,ai,dignity,192,7122,219,-0.0238
EU,ai,diversity,183,7122,192,-0.001
EU,ai,vulnerability,181,7122,196,-0.0095
EU,ai,registration,176,7122,192,-0.0114
EU,ai,discrimination,171,7122,181,-0.0033
EU,ai,citizen,168,7122,194,-0.0263
EU,ai,platform,166,7122,171,0.0039
EU,ai,supervisor,151,7122,151,0.0114
EU,ai,record,148,7122,152,0.0045
EU,ai,reliability,137,7122,147,-0.0065
EU,ai,penalty,136,7122,149,-0.0117
EU,ai,internal_market,136,7122,150,-0.0134
EU,ai,child,128,7122,139,-0.0094
EU,ai,threat,124,7122,170,-0.0662
EU,ai,liability,117,7122,119,0.0066
EU,ai,disclosure,113,7122,120,-0.0038
EU,ai,community,107,7122,125,-0.0262
EU,ai,equality,94,7122,120,-0.0457
EU,ai,employment,84,7122,85,0.0073
EU,ai,duty,82,7122,82,0.0098
EU,ai,certification,78,7122,78,0.0097
EU,ai,trustworthy_artificial_intelligence,67,7122,67,0.0094
EU,ai,non-personal_data,61,7122,61,0.0092
EU,ai,machine_learning,55,7122,55,0.009
EU,ai,non-high_risk,45,7122,45,0.0087
EU,ai,inclusion,45,7122,45,0.0087
EU,ai,regulator,42,7122,45,-0.0048
EU,ai,minor,35,7122,35,0.0083
EU,ai,safety_measure,34,7122,34,0.0082
EU,ai,hazard,30,7122,30,0.008
EU,ai,artificial_intelligence_system,26,7122,35,-0.0447
EU,ai,systemic_riskpursuant,21,7122,45,-0.1223
EU,ai,trustworthy_ai3,15,7122,15,0.0071
EU,ai,fundamental_rights11,15,7122,15,0.0071
EU,ai,information_security,15,7122,15,0.0071
EU,ai,transparency_requirement,15,7122,15,0.0071
EU,ai,risk_mitigation,15,7122,15,0.0071
EU,ai,technical_documentation13,15,7122,15,0.0071
EU,ai,fundamental_rightsd,15,7122,15,0.0071
EU,ai,high_risk6,15,7122,15,0.0071
EU,ai,conformity_assessment2,15,7122,15,0.0071
EU,ai,notified_bodyc,15,7122,15,0.0071
EU,ai,conformity_assessment10,15,7122,15,0.0071
EU,ai,notified_bodyb,15,7122,15,0.0071
EU,ai,notified_body2,15,7122,15,0.0071
EU,ai,systemic_risk2,15,7122,15,0.0071
EU,ai,systemic_risk4,15,7122,15,0.0071
EU,ai,systemic_riskc,15,7122,15,0.0071
EU,ai,competent_authorityi,15,7122,15,0.0071
EU,ai,systemic_riskv,15,7122,15,0.0071
EU,ai,asnon-high_risk,15,7122,15,0.0071
EU,ai,trustworthy_aib,15,7122,15,0.0071
EU,ai,62high_risk,15,7122,15,0.0071
EU,ai,notified_body32,15,7122,15,0.0071
EU,ai,technical_documentation41,15,7122,15,0.0071
EU,ai,notified_body43,15,7122,15,0.0071
EU,ai,not-high_risk7,15,7122,15,0.0071
EU,ai,not-high_risk,15,7122,15,0.0071
EU,ai,large_language_model,15,7122,15,0.0071
EU,ai,eu_gpai_codepdf,15,7122,15,0.0071
EU,ai,welfare,15,7122,15,0.0071
EU,ai,trustworthy_ai10,15,7122,15,0.0071
EU,ai,trustworthy_ai11a,15,7122,15,0.0071
EU,ai,fundamental_rights-based,15,7122,15,0.0071
EU,ai,fundamental_rights33,15,7122,15,0.0071
EU,ai,euresearchinfocentrearticle_en,15,7122,15,0.0071
EU,ai,idresearchheadlinesnewsarticle_19_03_12_en,15,7122,15,0.0071
EU,ai,trustworthy_ai21,15,7122,15,0.0071
EU,ai,orgai_now_2018_report,15,7122,15,0.0071
EU,ai,finance,15,7122,15,0.0071
EU,ai,auditor,15,7122,30,-0.1045
EU,ai,fundamental_rights119,13,7122,15,-0.0155
EU,ai,eucommissionpublicationsreflection-paper-towards-sustainable-europe-2030_en14,12,7122,15,-0.0278
EU,ai,systemic_riskas,11,7122,15,-0.0408
EU,ai,personal_datag,10,7122,15,-0.0546
EU,ai,othernon-personal_datac,7,7122,15,-0.103
EU,ai,systemic_risk-taking,4,7122,15,-0.1697
EU,ai,systemic_risk3,3,7122,15,-0.2002
EU,right,ai_system,1249,1669,5879,-0.0301
EU,right,ai,932,1669,3782,0.0455
EU,right,person,768,1669,2296,0.1762
EU,right,fundamental_rights,581,1669,1559,0.1993
EU,right,high_risk,491,1669,2747,-0.0833
EU,right,risk,468,1669,2661,-0.0877
EU,right,human,454,1669,1501,0.1071
EU,right,compliance,368,1669,1511,0.0276
EU,right,individual,367,1669,967,0.1749
EU,right,freedom,331,1669,487,0.3563
EU,right,service,321,1669,1866,-0.0842
EU,right,safety,282,1669,1598,-0.0731
EU,right,principle,280,1669,1009,0.065
EU,right,general_purpose_ai,257,1669,1164,-0.0045
EU,right,trustworthy_ai,250,1669,813,0.0931
EU,right,health,227,1669,975,0.0108
EU,right,personal_data,203,1669,544,0.1415
EU,right,product,178,1669,990,-0.0591
EU,right,value,166,1669,633,0.0412
EU,right,consumer,162,1669,387,0.1632
EU,right,harm,162,1669,734,-0.0041
EU,right,output,161,1669,637,0.0313
EU,right,democracy,144,1669,317,0.179
EU,right,justice,141,1669,267,0.216
EU,right,worker,140,1669,338,0.1545
EU,right,deployment,140,1669,496,0.058
EU,right,market_surveillance,140,1669,882,-0.0869
EU,right,transparency,138,1669,578,0.0158
EU,right,documentation,138,1669,819,-0.0716
EU,right,dignity,128,1669,219,0.2358
EU,right,responsibility,127,1669,619,-0.0218
EU,right,framework,124,1669,880,-0.1134
EU,right,education,116,1669,269,0.1572
EU,right,standard,114,1669,699,-0.0761
EU,right,security,113,1669,866,-0.1292
EU,right,people,103,1669,314,0.0889
EU,right,report,103,1669,953,-0.1704
EU,right,trustworthy,100,1669,298,0.0936
EU,right,guideline,99,1669,454,-0.0064
EU,right,user,98,1669,512,-0.0365
EU,right,oversight,98,1669,514,-0.0374
EU,right,privacy,97,1669,247,0.1292
EU,right,environment,97,1669,424,0.0047
EU,right,autonomy,85,1669,266,0.0793
EU,right,bias,85,1669,441,-0.0338
EU,right,equality,84,1669,120,0.2539
EU,right,biometric_identification,80,1669,321,0.0234
EU,right,child,76,1669,139,0.1945
EU,right,citizen,71,1669,194,0.1053
EU,right,discrimination,69,1669,181,0.1134
EU,right,decision_making,67,1669,208,0.0769
EU,right,accountability,67,1669,218,0.067
EU,right,fairness,66,1669,263,0.0239
EU,right,surveillance,64,1669,242,0.0347
EU,right,threat,62,1669,170,0.1016
EU,right,penalty,61,1669,149,0.1254
EU,right,placing_on_the_market,57,1669,409,-0.0976
EU,right,systemic_risk,57,1669,725,-0.2151
EU,right,criterion,55,1669,372,-0.0848
EU,right,algorithm,54,1669,235,0.005
EU,right,input,50,1669,409,-0.1212
EU,right,ai_ethic,49,1669,107,0.1422
EU,right,reliability,49,1669,147,0.079
EU,right,chain,48,1669,218,-0.0036
EU,right,technical_documentation,47,1669,454,-0.1525
EU,right,employment,46,1669,85,0.1733
EU,right,accuracy,46,1669,265,-0.0503
EU,right,infrastructure,46,1669,338,-0.0981
EU,right,internal_market,44,1669,150,0.0524
EU,right,liability,43,1669,119,0.0926
EU,right,ai_value_chain,43,1669,127,0.08
EU,right,diversity,43,1669,192,-0.0002
EU,right,supervisor,39,1669,151,0.027
EU,right,platform,37,1669,171,-0.0067
EU,right,non-personal_data,36,1669,61,0.1815
EU,right,conformity_assessment,36,1669,669,-0.2676
EU,right,natural_person,32,1669,220,-0.0794
EU,right,community,31,1669,125,0.0184
EU,right,robustness,30,1669,341,-0.1696
EU,right,trustworthy_artificial_intelligence,27,1669,67,0.1044
EU,right,supply,26,1669,268,-0.1481
EU,right,log,26,1669,281,-0.1564
EU,right,disclosure,25,1669,120,-0.0129
EU,right,legislation,22,1669,517,-0.2853
EU,right,performance,16,1669,433,-0.2935
EU,right,eucommissionpublicationsreflection-paper-towards-sustainable-europe-2030_en14,15,1669,15,0.2409
EU,right,fundamental_rights33,15,1669,15,0.2409
EU,right,minor,15,1669,35,0.1044
EU,right,duty,15,1669,82,-0.0328
EU,right,vulnerability,15,1669,196,-0.1731
EU,right,fundamental_rights11,14,1669,15,0.2273
EU,right,ai_systems69,14,1669,15,0.2273
EU,right,personal_datag,14,1669,15,0.2273
EU,right,ai_systemsg,14,1669,15,0.2273
EU,right,ai_systems22,14,1669,15,0.2273
