Term,Frequency,Degree_Centrality,Betweenness,Eigenvector
high_risk,440,0.3673,0.0952,0.2254
ai_system,1207,0.3265,0.0102,0.045
right,195,0.3061,0.023,0.0147
ai,620,0.3061,0.0408,0.0223
fundamental_rights,135,0.3061,0.1037,0.0298
trustworthy_ai,106,0.2857,0.1497,0.0381
safety,154,0.2857,0.0927,0.0522
general_purpose_ai,216,0.2653,0.0561,0.053
risk,320,0.2653,0.0,0.0253
human,176,0.2653,0.0918,0.0215
security,93,0.2449,0.0425,0.0395
systemic_risk,132,0.2449,0.1378,0.0672
person,314,0.2245,0.0043,0.009
service,195,0.2245,0.0068,0.0678
conformity_assessment,77,0.1837,0.2602,0.4546
compliance,147,0.1837,0.0,0.0418
robustness,31,0.1429,0.216,0.0457
documentation,84,0.1429,0.0179,0.2426
principle,102,0.1429,0.0153,0.021
performance,34,0.1224,0.2211,0.0761
product,108,0.1224,0.0153,0.1473
notified_body,66,0.1224,0.0408,0.4513
value,48,0.1224,0.0179,0.022
freedom,42,0.1224,0.0884,0.0115
guideline,44,0.102,0.0102,0.0239
input,34,0.102,0.0714,0.0357
quality_management,31,0.102,0.023,0.4505
health,83,0.102,0.1173,0.0444
deployment,36,0.0816,0.0,0.0144
harm,68,0.0816,0.0238,0.0078
legislation,52,0.0816,0.0323,0.1908
environment,32,0.0816,0.0332,0.0164
framework,107,0.0816,0.0,0.0156
technical_documentation,45,0.0816,0.0068,0.3986
personal_data,66,0.0816,0.0289,0.0038
transparency,46,0.0816,0.0017,0.0153
report,136,0.0816,0.0119,0.0158
individual,89,0.0816,0.0119,0.0076
user,46,0.0816,0.0306,0.0123
biometric_identification,43,0.0816,0.0136,0.0053
oversight,47,0.0612,0.0485,0.0164
criterion,33,0.0612,0.0544,0.0811
placing_on_the_market,34,0.0612,0.023,0.0878
accuracy,29,0.0612,0.0111,0.0344
output,52,0.0612,0.0459,0.0181
standard,83,0.0612,0.0077,0.0173
market_surveillance,135,0.0408,0.0051,0.0335
bias,48,0.0408,0.0272,0.0024
consumer,29,0.0408,0.0017,0.0023
responsibility,52,0.0204,0.0,0.0642
