Term,Frequency,Degree_Centrality,Betweenness,Eigenvector
high_risk,440,0.3673,0.0782,0.2915
trustworthy_ai,106,0.3061,0.193,0.0262
safety,154,0.3061,0.0587,0.047
fundamental_rights,135,0.2857,0.1063,0.0295
ai,620,0.2857,0.0247,0.0145
risk,320,0.2857,0.0,0.0186
right,195,0.2857,0.0332,0.0126
general_purpose_ai,216,0.2653,0.057,0.0477
security,93,0.2653,0.0306,0.0282
human,176,0.2449,0.0791,0.0161
systemic_risk,132,0.2449,0.1182,0.0496
person,314,0.2245,0.0425,0.017
service,195,0.2245,0.0034,0.1093
conformity_assessment,77,0.2041,0.2883,0.4527
compliance,147,0.2041,0.0034,0.0882
principle,102,0.1837,0.0051,0.0152
documentation,84,0.1633,0.0077,0.248
notified_body,66,0.1429,0.0621,0.4314
performance,34,0.1224,0.2942,0.0778
value,48,0.1224,0.0298,0.0148
accuracy,29,0.1224,0.0612,0.0315
robustness,31,0.1224,0.2092,0.035
legislation,52,0.1224,0.0527,0.2327
report,136,0.102,0.0034,0.0223
product,108,0.102,0.0034,0.1652
deployment,36,0.102,0.0043,0.011
individual,89,0.102,0.017,0.0066
freedom,42,0.102,0.0383,0.0065
user,46,0.102,0.0264,0.0109
input,34,0.102,0.0808,0.0277
environment,32,0.102,0.0204,0.0144
quality_management,31,0.102,0.023,0.4184
oversight,47,0.0816,0.0391,0.0154
framework,107,0.0816,0.0,0.0081
harm,68,0.0816,0.0009,0.006
guideline,44,0.0816,0.0043,0.0134
market_surveillance,135,0.0816,0.0196,0.1181
output,52,0.0816,0.051,0.0182
biometric_identification,43,0.0816,0.0187,0.0053
health,83,0.0816,0.125,0.0498
personal_data,66,0.0816,0.0128,0.0043
technical_documentation,45,0.0816,0.0,0.3576
criterion,33,0.0612,0.0247,0.0688
placing_on_the_market,34,0.0612,0.0,0.1021
transparency,46,0.0612,0.0017,0.0104
infrastructure,27,0.0408,0.0,0.0079
bias,48,0.0408,0.0196,0.0046
standard,83,0.0408,0.006,0.0149
responsibility,52,0.0408,0.0,0.0661
consumer,29,0.0408,0.0,0.0034
