Region,Anchor,Neighbor,Cooc_Windows,Anchor_WindowCount,Neighbor_WindowCount,NPMI
US,ai,risk,446,908,799,0.1411
US,ai,right,403,908,862,0.022
US,ai,automated_system,367,908,1198,-0.2277
US,ai,principle,323,908,581,0.114
US,ai,framework,319,908,513,0.1741
US,ai,harm,313,908,657,0.0291
US,ai,community,280,908,561,0.0511
US,ai,risk_management,254,908,254,0.3845
US,ai,individual,221,908,586,-0.0813
US,ai,people,214,908,709,-0.1795
US,ai,privacy,197,908,640,-0.1647
US,ai,human,182,908,482,-0.0742
US,ai,deployment,173,908,406,-0.0234
US,ai,standard,160,908,504,-0.1389
US,ai,security,148,908,285,0.0538
US,ai,safety,133,908,280,0.0188
US,ai,report,101,908,438,-0.2244
US,ai,health,100,908,279,-0.0768
US,ai,value,97,908,128,0.1709
US,ai,service,94,908,213,-0.0073
US,ai,trustworthy,93,908,94,0.2553
US,ai,environment,92,908,92,0.2579
US,ai,algorithm,92,908,268,-0.0887
US,ai,bias,88,908,228,-0.05
US,ai,responsibility,85,908,105,0.1847
US,ai,user,84,908,342,-0.1915
US,ai,product,83,908,164,0.036
US,ai,discrimination,72,908,362,-0.246
US,ai,oversight,69,908,350,-0.2456
US,ai,output,64,908,100,0.1013
US,ai,guideline,59,908,82,0.1322
US,ai,person,50,908,162,-0.1028
US,ai,employment,46,908,240,-0.2267
US,ai,documentation,45,908,138,-0.0855
US,ai,transparency,44,908,150,-0.1127
US,ai,justice,44,908,251,-0.2474
US,ai,trustworthy_artificial_intelligence,43,908,45,0.1951
US,ai,input,40,908,167,-0.1617
US,ai,compliance,39,908,75,0.0359
US,ai,education,38,908,223,-0.2454
US,ai,performance,35,908,138,-0.1422
US,ai,accountability,30,908,60,0.0244
US,ai,accuracy,29,908,62,0.0084
US,ai,machine_learning,29,908,120,-0.1473
US,ai,surveillance,28,908,281,-0.3534
US,ai,decision_making,27,908,120,-0.1614
US,ai,threat,26,908,41,0.0782
US,ai,fairness,26,908,45,0.0568
US,ai,criterion,22,908,45,0.0177
US,ai,consumer,22,908,115,-0.1901
US,ai,regulator,20,908,30,0.0846
US,ai,democracy,18,908,30,0.0604
US,ai,autonomy,18,908,45,-0.0256
US,ai,platform,18,908,45,-0.0256
US,ai,legislation,15,908,15,0.1624
US,ai,u_eo_14110pdf,15,908,15,0.1624
US,ai,diversity,15,908,15,0.1624
US,ai,welfare,15,908,30,0.0209
US,ai,disclosure,15,908,30,0.0209
US,ai,record,15,908,113,-0.2498
US,ai,human-ai_system,13,908,15,0.1294
US,ai,high_risk,12,908,109,-0.2754
US,ai,reliability,11,908,15,0.0932
US,ai,robustness,11,908,15,0.0932
US,ai,freedom,9,908,53,-0.1807
US,ai,auditor,8,908,30,-0.0952
US,ai,worker,7,908,60,-0.239
US,ai,registration,6,908,15,-0.0207
US,ai,infrastructure,5,908,16,-0.0613
US,ai,risk_assessment,4,908,67,-0.3252
US,ai,finance,3,908,90,-0.4003
US,ai,dignity,2,908,30,-0.2766
US,ai,u_blueprint_bill_of_rightspdf,1,908,1,0.1046
US,right,automated_system,561,862,1198,0.0696
US,right,principle,398,862,581,0.2896
US,right,ai,393,862,843,0.0517
US,right,privacy,351,862,640,0.1414
US,right,people,310,862,709,0.0109
US,right,framework,281,862,513,0.1248
US,right,individual,273,862,586,0.0419
US,right,harm,273,862,657,-0.0153
US,right,community,249,862,561,0.0169
US,right,report,202,862,438,0.0321
US,right,risk,192,862,799,-0.2461
US,right,surveillance,181,862,281,0.1693
US,right,standard,171,862,504,-0.0946
US,right,human,164,862,482,-0.0919
US,right,security,163,862,285,0.115
US,right,deployment,157,862,406,-0.0402
US,right,discrimination,148,862,362,-0.0179
US,right,service,146,862,213,0.1791
US,right,oversight,146,862,350,-0.0102
US,right,health,133,862,279,0.0393
US,right,education,128,862,223,0.1062
US,right,employment,127,862,240,0.0764
US,right,value,111,862,128,0.2434
US,right,justice,111,862,251,0.0109
US,right,safety,94,862,280,-0.0796
US,right,algorithm,92,862,268,-0.0718
US,right,record,76,862,113,0.1377
US,right,consumer,74,862,115,0.1232
US,right,bias,73,862,228,-0.0878
US,right,person,70,862,162,0.0025
US,right,user,69,862,342,-0.2233
US,right,ai_system,66,862,420,-0.2935
US,right,compliance,63,862,75,0.1944
US,right,transparency,63,862,150,-0.0057
US,right,decision_making,50,862,120,-0.0075
US,right,input,49,862,167,-0.1019
US,right,product,48,862,164,-0.102
US,right,performance,44,862,138,-0.0773
US,right,finance,42,862,90,0.0221
US,right,machine_learning,41,862,120,-0.0581
US,right,trustworthy_artificial_intelligence,40,862,45,0.1863
US,right,freedom,40,862,53,0.1445
US,right,documentation,39,862,138,-0.1055
US,right,democracy,30,862,30,0.2015
US,right,dignity,30,862,30,0.2015
US,right,regulator,30,862,30,0.2015
US,right,threat,30,862,41,0.1273
US,right,autonomy,30,862,45,0.1051
US,right,accountability,29,862,60,0.0284
US,right,fairness,28,862,45,0.0873
US,right,worker,27,862,60,0.0114
US,right,risk_management,27,862,254,-0.3233
US,right,welfare,26,862,30,0.162
US,right,child,23,862,35,0.0957
US,right,risk_assessment,20,862,67,-0.0784
US,right,accuracy,19,862,62,-0.0719
US,right,trustworthy,18,862,94,-0.1707
US,right,risk_mitigation,16,862,30,0.0453
US,right,high_risk,16,862,109,-0.2216
US,right,legislation,15,862,15,0.173
US,right,trustworthy_ai,15,862,15,0.173
US,right,duty,15,862,15,0.173
US,right,auditor,15,862,30,0.0315
US,right,personal_data,15,862,60,-0.11
US,right,biometric_identification,14,862,15,0.1567
US,right,ai_ethic,13,862,30,0.0023
US,right,guideline,13,862,82,-0.1972
US,right,responsibility,13,862,105,-0.2462
US,right,registration,11,862,15,0.1032
US,right,ai_systems20,10,862,15,0.0834
US,right,infrastructure,10,862,16,0.0712
US,right,risk_assessment84,8,862,15,0.0396
US,right,ai_system-specific,8,862,15,0.0396
US,right,supply,7,862,15,0.0151
US,right,criterion,4,862,45,-0.2528
US,right,platform,4,862,45,-0.2528
US,right,environment,4,862,92,-0.3678
US,right,output,3,862,100,-0.4085
US,right,robustness,2,862,15,-0.1688
US,right,human-ai_system,2,862,15,-0.1688
US,right,u_blueprint_bill_of_rightspdf,1,862,1,0.1114
US,risk,ai,451,917,843,0.1072
US,risk,automated_system,404,917,1198,-0.1876
US,risk,ai_system,343,917,420,0.3297
US,risk,harm,327,917,657,0.0485
US,risk,people,286,917,709,-0.0626
US,risk,community,249,917,561,-0.0127
US,risk,individual,244,917,586,-0.0428
US,risk,right,229,917,862,-0.2484
US,risk,privacy,211,917,640,-0.1436
US,risk,human,208,917,482,-0.0241
US,risk,standard,198,917,504,-0.0641
US,risk,framework,188,917,513,-0.092
US,risk,deployment,184,917,406,-0.0024
US,risk,report,180,917,438,-0.0429
US,risk,principle,163,917,581,-0.1931
US,risk,user,153,917,342,-0.0072
US,risk,safety,128,917,280,0.0011
US,risk,oversight,123,917,350,-0.093
US,risk,algorithm,113,917,268,-0.027
US,risk,product,105,917,164,0.1151
US,risk,responsibility,101,917,105,0.2497
US,risk,security,98,917,285,-0.0932
US,risk,justice,89,917,251,-0.0805
US,risk,health,86,917,279,-0.1241
US,risk,environment,85,917,92,0.2233
US,risk,documentation,84,917,138,0.0911
US,risk,employment,83,917,240,-0.0866
US,risk,trustworthy,81,917,94,0.1983
US,risk,bias,81,917,228,-0.0775
US,risk,decision_making,79,917,120,0.1136
US,risk,input,77,917,167,0.0036
US,risk,discrimination,69,917,362,-0.2585
US,risk,output,68,917,100,0.1181
US,risk,transparency,61,917,150,-0.0326
US,risk,machine_learning,58,917,120,0.0166
US,risk,guideline,57,917,82,0.1184
US,risk,performance,57,917,138,-0.0276
US,risk,service,54,917,213,-0.1621
US,risk,surveillance,54,917,281,-0.2387
US,risk,person,52,917,162,-0.0959
US,risk,record,50,917,113,-0.008
US,risk,education,39,917,223,-0.2429
US,risk,compliance,37,917,75,0.0198
US,risk,criterion,34,917,45,0.1239
US,risk,consumer,32,917,115,-0.1192
US,risk,personal_data,31,917,60,0.0301
US,risk,disclosure,30,917,30,0.1868
US,risk,accountability,30,917,60,0.022
US,risk,worker,28,917,60,0.0055
US,risk,threat,26,917,41,0.076
US,risk,accuracy,26,917,62,-0.0191
US,risk,value,20,917,128,-0.2322
US,risk,welfare,16,917,30,0.0325
US,risk,child,16,917,35,0.0006
US,risk,ai_system-specific,15,917,15,0.1604
US,risk,diversity,15,917,15,0.1604
US,risk,auditor,15,917,30,0.0189
US,risk,autonomy,15,917,45,-0.0639
US,risk,finance,15,917,90,-0.2054
US,risk,platform,12,917,45,-0.1046
US,risk,u_eo_14110pdf,8,917,15,0.0284
US,risk,reliability,6,917,15,-0.0224
US,risk,biometric_identification,5,917,15,-0.0522
US,risk,trustworthy_artificial_intelligence,5,917,45,-0.2353
US,risk,robustness,4,917,15,-0.0862
US,risk,regulator,4,917,30,-0.1976
US,risk,human-ai_system,3,917,15,-0.1266
US,safety,automated_system,169,280,1198,0.0055
US,safety,harm,147,280,657,0.1815
US,safety,ai,124,280,843,0.0199
US,safety,risk,109,280,799,-0.0068
US,safety,principle,101,280,581,0.0744
US,safety,privacy,95,280,640,0.0211
US,safety,right,94,280,862,-0.0796
US,safety,community,89,280,561,0.042
US,safety,standard,86,280,504,0.0647
US,safety,deployment,84,280,406,0.1249
US,safety,framework,82,280,513,0.0433
US,safety,people,78,280,709,-0.0723
US,safety,security,67,280,285,0.1541
US,safety,individual,55,280,586,-0.1094
US,safety,service,51,280,213,0.1477
US,safety,report,50,280,438,-0.0536
US,safety,product,47,280,164,0.1923
US,safety,algorithm,47,280,268,0.0616
US,safety,employment,44,280,240,0.0721
US,safety,discrimination,44,280,362,-0.0354
US,safety,ai_system,38,280,420,-0.1085
US,safety,human,36,280,482,-0.1547
US,safety,user,35,280,342,-0.0759
US,safety,person,33,280,162,0.0927
US,safety,oversight,27,280,350,-0.1369
US,safety,decision_making,26,280,120,0.1018
US,safety,machine_learning,25,280,120,0.092
US,safety,bias,25,280,228,-0.0543
US,safety,high_risk,23,280,109,0.0931
US,safety,transparency,23,280,150,0.0217
US,safety,surveillance,23,280,281,-0.1187
US,safety,education,22,280,223,-0.0762
US,safety,freedom,20,280,53,0.2163
US,safety,input,20,280,167,-0.0326
US,safety,justice,19,280,251,-0.1306
US,safety,consumer,17,280,115,0.0126
US,safety,compliance,16,280,75,0.0884
US,safety,platform,15,280,45,0.1783
US,safety,responsibility,15,280,105,0.0053
US,safety,performance,15,280,138,-0.0504
US,safety,documentation,15,280,138,-0.0504
US,safety,robustness,14,280,15,0.3831
US,safety,accuracy,14,280,62,0.0974
US,safety,risk_management,14,280,254,-0.1864
US,safety,risk_mitigation,13,280,30,0.2253
US,safety,auditor,13,280,30,0.2253
US,safety,output,13,280,100,-0.0135
US,safety,health,13,280,279,-0.217
US,safety,reliability,12,280,15,0.3415
US,safety,ai_ethic,12,280,30,0.2061
US,safety,finance,12,280,90,-0.0084
US,safety,environment,12,280,92,-0.0126
US,safety,trustworthy,11,280,94,-0.0333
US,safety,value,11,280,128,-0.0925
US,safety,accountability,9,280,60,0.0139
US,safety,fairness,8,280,45,0.0443
US,safety,ai_systems20,5,280,15,0.1456
US,safety,record,5,280,113,-0.1911
US,safety,trustworthy_artificial_intelligence,3,280,45,-0.1131
