Term,Frequency,Degree_Centrality,Betweenness,Eigenvector
risk,152,0.3878,0.0587,0.0145
right,105,0.3673,0.0451,0.034
ai,151,0.3673,0.0408,0.0105
privacy,72,0.3469,0.0255,0.0517
automated_system,209,0.3265,0.0247,0.0156
harm,72,0.3061,0.0051,0.0016
safety,26,0.2857,0.0502,0.0049
bias,30,0.2857,0.0459,0.0171
ai_system,69,0.2653,0.0451,0.015
discrimination,49,0.2449,0.0595,0.0147
security,25,0.2449,0.0162,0.0134
individual,63,0.2449,0.0255,0.0109
people,63,0.2245,0.0043,0.0211
surveillance,42,0.1837,0.0825,0.2828
employment,16,0.1837,0.0595,0.4014
principle,82,0.1837,0.051,0.0088
risk_assessment,6,0.1633,0.1769,0.0684
oversight,27,0.1633,0.0672,0.1362
education,16,0.1633,0.0519,0.437
standard,42,0.1633,0.0077,0.0022
health,21,0.1633,0.0068,0.3566
framework,51,0.1633,0.0009,0.0046
high_risk,8,0.1633,0.1131,0.1277
finance,6,0.1633,0.0791,0.401
community,53,0.1633,0.0026,0.0014
responsibility,11,0.1429,0.068,0.015
risk_management,26,0.1429,0.0502,0.0159
personal_data,6,0.1429,0.0714,0.1515
environment,8,0.1429,0.0238,0.0117
trustworthy,7,0.1429,0.0204,0.0102
justice,18,0.1429,0.0731,0.3851
report,55,0.1224,0.0255,0.0051
consumer,14,0.1224,0.0,0.175
algorithm,23,0.1224,0.0595,0.0234
service,23,0.1224,0.0357,0.1277
product,12,0.102,0.1207,0.0366
transparency,10,0.102,0.0646,0.0373
record,13,0.102,0.0332,0.0158
human,82,0.102,0.0,0.0164
output,8,0.0816,0.074,0.0135
decision_making,8,0.0816,0.017,0.0176
machine_learning,8,0.0816,0.0434,0.0055
person,20,0.0816,0.0068,0.0983
deployment,35,0.0816,0.0026,0.0015
performance,16,0.0816,0.0383,0.003
guideline,7,0.0612,0.0689,0.0389
value,10,0.0408,0.0,0.004
documentation,12,0.0408,0.0179,0.0045
user,46,0.0408,0.0,0.0007
input,13,0.0204,0.0,0.0012
